class,confidence
1,0.98038805
1,0.9906927
0,0.95262986
1,0.92803204
0,0.9939738
0,0.9999995
0,0.9948835
1,0.9729547
0,0.9997656
1,0.9961706
0,0.9979388
0,0.9999963
0,1.0
0,0.88927597
1,0.9986279
1,0.9962656
0,0.9985317
1,0.9655287
1,0.99922395
0,0.9925604
1,0.88652164
1,0.5861458
1,0.9459194
1,0.99565923
1,0.9993073
0,0.9999633
1,0.99913317
1,0.99634784
1,0.99502796
0,1.0
0,0.99999964
1,0.98594636
1,0.9989236
1,0.9883696
0,0.9998042
0,0.7864169
1,0.9996643
1,0.9450544
1,0.9993793
0,0.9791519
1,0.9946743
1,0.99923015
0,1.0
0,0.9999994
0,0.989253
0,0.9999306
0,0.99950194
0,0.99972755
0,0.9711519
0,0.9996835
